# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
970000,-0.0014,0.0072,0.0022,-0.08,0.03,-9.75
980000,0.0014,0.0014,0,0.03,0.18,-9.86
990000,0.0004,0.0044,-0.0022,0.15,-0.02,-9.92
1000000,0.0012,0.0062,0.0028,0.01,-0.04,-9.69
1010000,0.0032,0.0028,-0.003,0.03,-0.06,-9.63
1020000,-0.0014,0.0048,0.0016,-0.04,0.04,-9.89
1030000,-0.0038,0.0032,0,0.06,-0.02,-9.82
1040000,-0.0002,0.007,-0.0016,0.27,-0.02,-9.83
1050000,-0.0056,0.0048,-0,0.11,0.11,-9.97
1060000,0.002,0.0044,0,0.14,0.03,-9.83
1070000,0.0028,0.001,0.001,-0.05,-0.05,-9.74
1080000,0.0006,0.0102,-0.0006,0.12,-0.13,-9.78
1090000,-0.001,0.0028,0.001,0.04,-0.01,-9.73
1100000,0.0036,0.0046,-0.001,0.11,-0.04,-9.94
1110000,0.002,0.005,-0.0002,0.13,-0.05,-9.69
1120000,-0.0024,0.0016,0.0016,-0.06,-0.07,-9.88
1130000,0.0016,-0.001,0.0024,0.12,0.08,-9.74
1140000,-0.003,0.0054,-0.0042,0,-0.07,-9.82
1150000,0.0012,0.0044,0.0016,0.1,-0.17,-9.87
1160000,-0.0008,0.007,-0.0022,0.02,-0.05,-9.77
1170000,-0.0036,0.0012,0.0026,0.03,0.03,-9.66
1180000,0.0012,0.005,-0.0024,0.06,-0.03,-9.97
1190000,0.0014,0.0018,-0.0024,0.02,0.31,-9.84
1200000,0.0006,0.006,0.0006,0.03,-0.23,-9.89
1210000,-0.0018,0.0028,0.001,-0.22,-0.09,-9.66
1220000,0.003,0.0048,-0.0054,0.09,0.15,-9.9
1230000,-0.003,0.0054,0.0042,0.18,0.02,-9.94
1240000,-0.002,0.0046,-0.0016,0.05,-0.08,-9.65
1250000,0.0052,0.0026,-0.0054,0.06,-0.08,-9.84
1260000,0.0002,0.003,0.0034,0.19,0.03,-9.67
1270000,-0.002,0.0038,0.0014,0.04,-0.26,-9.77
1280000,0.0008,0.0074,0.001,0.06,-0.03,-9.9
1290000,0.0012,0.0094,0.0036,4.04,0.03,-9.59
1300000,0.001,0.0092,-0.0036,3.91,0.1,-9.8
1310000,0.0008,0.0102,-0.0032,4,-0.23,-9.89
1320000,0.0012,0.0074,0.0004,3.88,0.11,-9.95
1330000,-0.004,0.011,0.0032,3.87,-0.2,-9.79
1340000,0.003,0.0102,-0.0002,4.04,0.05,-9.77
1350000,0.0008,0.0062,0.0018,4.02,0.04,-9.89
1360000,-0.0024,0.0076,-0.003,3.92,-0.18,-9.71
1370000,-0.0048,0.0058,-0.0002,4,-0.11,-9.95
1380000,0.0026,0.0116,0.0004,3.96,0.19,-9.68
1390000,-0.0006,0.0136,-0.0006,3.92,-0.28,-9.55
1400000,0.0006,0.0094,0.0006,4.1,0.27,-9.89
1410000,0.0036,0.0078,0.0048,3.79,0.11,-9.77
1420000,-0.0046,0.0096,-0.007,3.85,0.12,-9.76
1430000,0.0034,0.0062,0.0002,3.81,-0.11,-9.97
1440000,0.0014,0.0132,-0.0002,4.14,-0.18,-9.68
1450000,0.0042,0.0092,-0.0018,3.74,0.27,-9.71
1460000,-0.0024,0.0112,0.0028,3.99,-0.13,-9.85
1470000,0.0032,0.0112,-0,3.88,0.03,-9.61
1480000,-0.0058,0.0078,-0.0022,4.18,-0.08,-9.88
1490000,-0.0026,0.0064,0.003,4.31,0.08,-9.88
1500000,0.0014,0.014,-0.003,3.69,0.12,-9.71
1510000,-0.0018,0.0148,0.001,3.81,-0.22,-9.68
1520000,0.0002,0.0014,0.0006,4.15,-0.06,-9.89
1530000,-0,0.0102,0.0052,3.92,0.05,-10.01
1540000,0.0002,0.0098,-0.0028,4.05,-0.08,-9.89
1550000,-0.0018,0.0104,-0.0034,3.87,0.01,-9.53
1560000,0.0014,0.0102,0,4.12,-0.11,-9.83
1570000,-0.0006,0.0112,-0.0012,4.22,0.11,-9.69
1580000,0.0002,0.0094,0.001,3.86,0.07,-9.76
1590000,0.0012,0.011,-0.0008,3.83,-0.06,-9.84
1600000,0.0006,0.0058,-0,4.33,-0.09,-9.67
1610000,0.0042,0.0114,0.0046,3.86,-0.05,-9.57
1620000,-0.0016,0.0078,-0.0016,4.14,-0.01,-9.98
1630000,-0.0022,0.0072,0.0006,3.97,-0.12,-9.88
1640000,-0.001,0.0134,-0,4.08,0.1,-9.75
1650000,0.0014,0.0064,0.0004,3.95,0.03,-9.84
1660000,-0.0002,0.0114,-0.0006,4.05,-0.08,-9.64
1670000,0.0004,0.0106,-0.0006,3.95,-0.19,-9.78
1680000,-0.0006,0.0104,-0.0008,4.04,0.01,-9.73
1690000,0.0026,0.0138,0,3.95,0.01,-9.66
1700000,-0.0018,0.0072,-0.0012,4.14,-0.05,-9.72
1710000,-0.0022,0.0096,0.0036,3.82,-0.15,-9.88
1720000,-0.001,0.0108,-0.003,4.21,0.01,-9.75
1730000,0.0016,0.0098,0.0004,3.85,0.18,-9.75
1740000,-0.001,0.008,-0.0006,4.23,-0.07,-9.86
1750000,0.0006,0.011,0.0004,4,-0.24,-9.83
1760000,0.0006,0.008,0.0006,4.02,0.37,-9.72
1770000,0.001,0.0062,0.0006,4.05,-0.05,-9.79
1780000,-0.0014,0.0112,-0.003,4.08,0.09,-9.63
1790000,-0.0004,0.0098,-0.0026,3.96,-0.03,-9.86
1800000,-0.0026,0.0104,0.0002,4.1,0.1,-9.84
1810000,0.0032,0.0088,-0.0038,3.95,-0,-9.62
1820000,0.0002,0.0126,0.0052,3.99,-0.03,-9.76
1830000,-0.0002,0.0112,0.0006,4,0.07,-10.18
1840000,-0.003,0.0082,0.0014,3.99,-0.12,-9.59
1850000,0.0036,0.012,0.0006,4,0.04,-9.85
1860000,-0.0012,0.0074,-0.001,3.86,-0.08,-9.7
1870000,0.0006,0.0104,-0.0014,4.06,-0.12,-9.86
1880000,-0.0004,0.0084,0,3.91,-0.15,-9.72
1890000,-0.0012,0.01,-0.0018,4.09,-0.06,-9.66
1900000,0.0016,0.0074,-0.001,4.03,0.09,-9.78
1910000,0.0022,0.0076,0.0028,4.15,-0.02,-9.86
1920000,-0.001,0.0122,0.0016,4,0.03,-9.6
1930000,-0.0022,0.009,0,4,-0.05,-9.83
1940000,0.0006,0.0132,0.002,3.9,0.05,-9.64
1950000,0.003,0.0068,-0.002,3.92,-0.1,-9.71
1960000,-0.0018,0.0098,0.0022,4.12,0.32,-9.88
1970000,0.0004,0.0084,0.0008,3.97,0.15,-9.75
1980000,0,0.0108,-0.0032,4.17,-0.15,-9.87
1990000,0.0006,0.0086,0.0054,4,0.04,-9.69
2000000,0.0006,0.0126,-0.0028,4.05,-0.09,-9.72
2010000,0.001,0.0072,-0.0002,3.91,-0.19,-9.71
