# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 797 Hz by 4 (inslib_decimate_dataset.py)
5440420431,0.00054037193,0.000807423352,-0.00212234381,-0.324369801,-0.31655752,-9.80132501,33.875
5440425447,0.00135092983,0.00161484632,-0.00132646488,-0.317197388,-0.321942199,-9.80311876,33.95
5440430462,1.5e-11,0.000538282235,-0.000795878932,-0.31779508,-0.330318361,-9.80730438,34
5440435478,-0.0010807438,0.000269141117,-0.00079587893,-0.319588192,-0.331514951,-9.80790205,33.925
5440440493,0,0.000269141117,-0.00185705083,-0.317197379,-0.330916656,-9.80132501,33.975
5440445509,-0.000270185935,0.000269141117,-0.00159175786,-0.305243331,-0.322540503,-9.80491266,33.825
5440450524,0.00108074386,0.00134570539,-0.00132646488,-0.316001977,-0.340489417,-9.79713968,33.9
5440455539,-0.000540371918,0.000269141117,-0.00185705083,-0.317197388,-0.342882614,-9.78757296,33.925
5440460555,-0.00135092981,0.000807423352,-0.00132646488,-0.312415762,-0.316557519,-9.80730452,33.95
5440465570,0.000270185965,-0.000807423157,-0.000795878932,-0.3237721,-0.321343895,-9.82404654,33.95
5440470586,0.00054037193,0.000269141117,-0.00132646488,-0.3237721,-0.341087721,-9.79415,34
5440475601,0.00054037193,0.00161484632,-0.000265292977,-0.320185885,-0.332113245,-9.80790219,33.825
5440480617,-0.00027018595,0.00188398724,-0.00185705077,-0.308829537,-0.323138797,-9.81447923,34.075
5440485632,1.5e-11,0.0013457052,-0.00212234375,-0.315404267,-0.330916647,-9.8067067,33.95
5440490648,0,0.000807423352,-0.00185705083,-0.321381296,-0.33271155,-9.80551091,33.975
5440495663,0.000270185965,0.000538282235,-0.00106117191,-0.321978988,-0.337497934,-9.81567502,33.925
5440500679,0.000810557895,6.5e-11,0,-0.304047929,-0.345275802,-9.80670656,33.95
5440505694,0,-0.000269141052,-0.00106117191,-0.310024948,-0.350062177,-9.80371687,33.8
5440510710,0.000270185965,0.000807423352,-0.000265292977,-0.316001968,-0.327925183,-9.81208766,33.975
5440515725,0.000810557895,0.00107656447,-0.000265292977,-0.303450228,-0.343480899,-9.79893343,33.9
5440520741,-0.0005403719,0,-0.00159175786,-0.311220342,-0.342882614,-9.80311891,33.95
5440525756,-0.0010807438,0.00134570539,-0.00212234381,-0.308829542,-0.339292828,-9.81447938,33.875
5440530772,-0.00081055785,0.00134570539,-0.00106117191,-0.286714568,-0.350660481,-9.80072719,33.9
5440535787,-0.00081055785,0.00134570539,-0.00132646488,-0.274760528,-0.34766899,-9.7977375,34
5440540803,-0.00027018595,0,-0.00185705083,-0.274760533,-0.341686015,-9.81627328,33.975
5440545818,0.000810557895,0,-0.000795878932,-0.287312268,-0.344677507,-9.81806688,33.9
5440550834,0.0016211158,0.00161484632,-0.00132646488,-0.280737552,-0.339891113,-9.81208766,33.925
5440555849,0,0.000807423352,-0.00132646488,-0.293886998,-0.338694524,-9.81328344,33.95
5440560865,0.000270185965,0.000807423352,-0.00212234381,-0.318392781,-0.340489408,-9.80909842,33.85
5440565880,0.00108074386,0,-0.00106117191,-0.328553708,-0.346472391,-9.80491251,33.9
5440570896,0.00054037193,0,-0.000795878932,-0.328553708,-0.348865588,-9.80610844,33.95
5440575911,-0.0005403719,-0.000538282105,-0.00106117191,-0.321978997,-0.345874096,-9.79713968,33.875
5440580927,-0.00027018595,0.000538282235,-0.00106117191,-0.319588184,-0.354250267,-9.79534593,33.9
5440585942,-0.0005403719,0.000269141117,-0.00159175786,-0.316599678,-0.349463874,-9.7977375,33.9
5440590957,0,0.00161484632,-0.00159175786,-0.29866862,-0.342882614,-9.80072704,33.95
5440595973,-0.0010807438,0.00107656428,0,-0.284921464,-0.34228431,-9.80610874,34
5440600988,-0.00135092978,0.000538282235,0.000265292977,-0.278346743,-0.347070695,-9.81089217,33.9
5440606004,1.5e-11,0.00107656447,-0.000265292977,-0.269381215,-0.33151496,-9.80371673,33.925
5440611019,-0.000270185935,0.000807423352,-0.00159175786,-0.290300783,-0.334506443,-9.80730437,33.925
5440616035,0.000270185965,-0.000269141052,-0.00212234381,-0.293886998,-0.327925174,-9.8114897,33.85
5440621050,0.00189130176,0.000269141117,-0.00238763672,-0.311220351,-0.336899631,-9.80610873,33.975
5440626066,0.000270185965,0.00107656447,-0.00212234381,-0.318990491,-0.332711549,-9.80132486,34
5440631081,-0.00081055785,0.000538282235,-0.00159175786,-0.3237721,-0.329720076,-9.80850031,33.9
5440636097,-0.00081055785,-0.000269141052,-0.00132646488,-0.324967502,-0.334506443,-9.79773779,33.875
5440641112,-0.0005403719,-0.000807423157,-0.00159175786,-0.327358306,-0.339891122,-9.80431455,34.025
5440646128,0.000270185965,0.000538282235,-0.00185705083,-0.326760605,-0.327925173,-9.81567517,33.925
5440651143,-0.00081055785,-0.000269141052,-0.00106117191,-0.327358306,-0.324335387,-9.81148984,33.825
5440656159,-0.0005403719,-0.000807423157,-0.00212234381,-0.329151409,-0.336301326,-9.82524247,33.85
5440661174,0.000810557895,-0.000807423125,-0.00106117191,-0.317197371,-0.342882605,-9.82285061,34
5440666190,0.00027018598,-0.00188398727,-0.00106117191,-0.317795089,-0.341087721,-9.82344858,33.875
5440671205,-0.00081055785,-0.000807423157,-0.00185705083,-0.318392791,-0.339292818,-9.83062416,33.9
5440676221,0.000810557895,-0.00107656421,-0.00185705083,-0.326760605,-0.33151496,-9.8318201,33.875
5440681236,-0.00027018595,-0.00107656421,-0.00132646488,-0.324967502,-0.336301336,-9.8282323,33.975
