# t_us, speed_mps
# from 0x40/0x80 odometry frames. Both replay harnesses read the first two columns only; the rest is the producer's own record: stddev_mps, delay_ms, reverse (1 = travelling backwards, blank = direction unknown)
5490865172,0.0000,0.0802,86,
5490965994,0.0000,0.0802,86,
5491067200,0.0000,0.0802,86,
5491170148,0.0000,0.0802,89,
5491268179,0.0000,0.0802,87,
5491367950,0.0000,0.0802,86,
5491468710,0.0000,0.0802,86,
5491568000,0.0000,0.0802,85,
5491669439,0.0000,0.0802,85,
5491773008,0.0000,0.0802,89,
5491870956,0.0000,0.0802,87,
5491973716,0.0000,0.0802,87,
5492072327,0.0000,0.0802,86,
5492172739,0.0000,0.0802,87,
5492274587,0.0000,0.0802,87,
5492375325,0.0000,0.0802,88,
5492475233,0.0000,0.0802,87,
5492576932,0.0000,0.0802,89,
5492674521,0.0000,0.0802,86,
5492776930,0.0000,0.0802,87,
5492876825,0.0000,0.0802,86,
5492976444,0.0000,0.0802,84,
5493077305,0.0000,0.0802,85,
5493187570,0.0000,0.0802,86,
5493286350,0.0000,0.0802,85,
5493389174,0.0000,0.0802,86,
5493488145,0.0000,0.0802,85,
5493591301,0.0000,0.0802,88,
5493689534,0.0000,0.0802,85,
5493787061,0.0000,0.0802,83,
5493895999,0.0000,0.0802,92,
5493992678,0.0000,0.0802,87,
5494098606,0.0000,0.0802,92,
5494194447,0.0000,0.0802,87,
5494298806,0.0000,0.0802,92,
5494395060,0.0000,0.0802,87,
5494500119,0.0000,0.0802,92,
5494595192,0.0000,0.0802,86,
5494700606,0.0000,0.0802,90,
5494797577,0.0000,0.0802,87,
5494902046,0.0000,0.0802,90,
5494999350,0.0000,0.0802,87,
5495103448,0.0000,0.0802,90,
5495196958,0.0000,0.0802,84,
5495303233,0.0000,0.0802,90,
5495402071,0.0000,0.0802,88,
5495504531,0.0000,0.0802,89,
5495603578,0.0000,0.0802,87,
5495704983,0.0000,0.0802,89,
5495804335,0.0000,0.0802,88,
5495906359,0.0000,0.0802,89,
5496005639,0.0000,0.0802,86,
5496107686,0.0000,0.0802,88,
5496205515,0.0000,0.0802,87,
5496308178,0.0000,0.0802,88,
5496407765,0.0000,0.0802,88,
5496508125,0.0000,0.0802,88,
5496606946,0.0000,0.0802,87,
5496708380,0.0000,0.0802,87,
5496807863,0.0000,0.0802,86,
5496910601,0.0000,0.0802,88,
5497007440,0.0000,0.0802,84,
5497110316,0.0000,0.0802,88,
5497208746,0.0000,0.0802,85,
5497311340,0.0000,0.0802,87,
5497407899,0.0000,0.0802,85,
5497512502,0.0000,0.0802,88,
5497614528,0.0000,0.0802,88,
5497713763,0.0000,0.0802,87,
5497815405,0.0000,0.0802,89,
5497913016,0.0000,0.0802,86,
5498015084,0.0000,0.0802,87,
5498115418,0.0000,0.0802,88,
5498215402,0.0000,0.0802,87,
5498315068,0.0000,0.0802,86,
5498416660,0.0000,0.0802,88,
5498516495,0.0000,0.0802,86,
5498615570,0.0000,0.0802,86,
5498716684,0.0000,0.0802,86,
5498817301,0.0000,0.0802,85,
5498918803,0.0000,0.0802,87,
5499016774,0.0000,0.0802,85,
5499120737,0.0000,0.0802,89,
