# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
15998502,20.2419,-0.9158,46.4709
16099561,20.7032,-0.7838,46.0070
16199836,20.2301,-0.8650,46.1958
16300494,20.2784,-1.2012,46.0359
16399021,20.4922,-1.3102,45.9054
16499937,20.1946,-1.7608,46.0149
16601099,20.3502,-1.3203,46.0121
16701295,20.4674,-1.4259,46.1202
16800321,20.1959,-1.3912,46.6423
16900743,20.4143,-1.4752,46.5992
17000512,20.6229,-1.3933,45.8807
17101236,20.0843,-1.9094,45.3609
17199528,20.4241,-1.7202,46.4064
17299659,19.7510,-1.6054,46.6607
17399354,19.9979,-1.5365,46.1024
17501405,19.7673,-0.9789,46.0707
17601190,19.6654,-2.0758,46.8258
17701379,20.3832,-1.8911,46.1686
17798523,20.1941,-2.2389,46.3950
17898788,20.2272,-1.8808,46.7395
18000949,20.0639,-1.9341,46.3360
18099973,20.2038,-2.4624,46.2178
18200287,19.8173,-2.1043,46.4814
18299793,20.0693,-1.8926,46.7589
18401075,20.1339,-2.2969,46.5600
18499376,19.1277,-2.4936,46.7005
18600954,18.9074,-1.8349,46.4132
18700543,19.6672,-3.0838,46.0418
18798626,19.5541,-2.2409,46.3068
18900439,19.0391,-2.4619,46.4701
19001410,19.4032,-3.2649,46.7063
19100565,19.8453,-2.6409,46.0147
19200362,19.8933,-3.2060,46.3306
19298987,19.3635,-2.7177,46.1022
19399662,19.6131,-2.3437,47.2116
19501242,19.0294,-4.3768,46.7917
19599209,19.0611,-3.4889,46.5501
19698971,18.7972,-3.4980,46.3699
19800974,18.8002,-3.2188,46.7483
19900070,18.7873,-3.1258,46.3214
19998879,19.5511,-3.6137,46.3049
20100905,18.6699,-4.4359,46.4848
20199403,19.2354,-3.9227,46.0119
20299211,18.8950,-3.5303,46.6045
20399960,18.3619,-3.6536,46.4780
20499301,18.5521,-4.3212,46.7671
20599507,18.6057,-4.3530,46.7352
20701109,18.6043,-4.0730,46.4632
20798659,18.5432,-4.2768,46.8651
20899222,19.1181,-4.3599,46.7143
20998800,18.4564,-4.3264,46.5077
21101372,19.0116,-4.8433,46.7127
21200576,19.1768,-4.5129,46.2257
21299114,18.6926,-5.2864,46.7950
21400559,18.3425,-4.9051,46.5153
21499528,18.1472,-4.9800,46.7027
21599026,18.0030,-5.1599,46.5857
21700514,17.9236,-5.0562,46.8978
21798570,18.1293,-5.4981,46.6532
21899829,17.9801,-5.6004,46.7244
22000863,19.2329,-5.2238,46.5759
22101122,19.4713,-5.5787,46.4309
22200179,19.5299,-5.9150,45.9614
22299127,18.5373,-6.1227,46.0692
22401235,18.5470,-6.4203,46.0459
22498999,18.6880,-6.4219,46.6086
22600173,19.0319,-5.9726,46.8667
22698691,18.3828,-6.6277,46.4100
22798839,18.8408,-6.5962,46.6352
22899288,19.0415,-6.6386,46.1366
22998976,18.7875,-6.8792,46.2026
23099386,18.9491,-7.6329,46.8852
23200525,18.4024,-6.8906,46.2068
23300464,19.0920,-6.9327,46.6089
23401313,18.8031,-7.5498,46.5254
23500369,18.5927,-7.4782,46.3010
23598650,18.2534,-7.7034,46.3743
23701435,18.5930,-7.6097,46.0384
23800901,18.2572,-7.9871,46.1811
23900128,18.3902,-8.2658,45.9547
23999177,18.4632,-8.1091,46.5311
24099566,18.2850,-8.0301,46.5226
24199231,18.1042,-8.2134,46.4053
24298966,17.9120,-8.2200,46.7483
24401427,18.0252,-8.1633,46.8269
24499472,17.8726,-8.4328,45.5333
24600129,17.8395,-8.4701,46.6706
24701309,17.5153,-8.5319,46.6551
24799978,18.1452,-8.6727,45.9329
24900741,17.6051,-8.6585,46.4855
25000805,17.6082,-8.9207,46.9236
25100712,18.0428,-8.9786,46.5080
25199994,18.2572,-9.2144,46.4045
25300271,17.6945,-8.5845,46.2321
25400752,17.1883,-8.7702,46.4467
25498895,18.1153,-9.1231,46.0112
25598801,17.6045,-9.0744,46.3759
25700817,17.6157,-9.9198,46.3643
25801250,17.3859,-10.3353,46.8174
25900778,17.1895,-10.2391,46.4244
26000399,17.3448,-9.6391,46.1224
26100209,17.0877,-9.9931,46.3763
26198938,17.3978,-10.6508,46.4066
26301085,17.3685,-10.2716,47.0607
26398978,16.3627,-10.4849,46.2213
26500639,16.5925,-10.5573,46.5872
26599645,16.8906,-10.2760,46.2704
26701080,16.9996,-10.6099,46.7841
26801129,16.7695,-10.5336,46.3027
26900879,16.3509,-10.9736,46.6248
26999831,16.5924,-11.1890,46.2794
27100946,16.4709,-10.9764,46.0937
27199445,16.8331,-11.1647,46.7165
27299349,16.6418,-11.9202,46.3724
27400118,15.6799,-11.2535,45.8179
27501143,15.8328,-11.2699,46.3822
27600169,16.2646,-11.6724,46.5319
27701381,16.3901,-11.5227,46.1731
27801277,16.0323,-12.0972,46.3225
27899748,15.9060,-12.1293,46.0765
27998666,16.2744,-11.5586,46.5008
28099407,15.4262,-11.9693,46.6949
28199577,15.3778,-12.5683,46.6722
28299906,14.9703,-12.3415,46.0935
28400313,15.3328,-12.2678,46.4928
28500950,14.6968,-12.9719,46.2837
28601268,15.2435,-12.8620,46.8169
28699805,14.8807,-13.0956,46.2824
28801424,14.6123,-12.9792,46.6093
28900417,15.4532,-13.2826,46.2183
29001450,14.3909,-12.8081,46.6264
29099087,14.7086,-13.1229,46.3503
29198537,14.8752,-13.2990,46.5012
29299821,14.7802,-12.9260,46.8416
29400810,13.9081,-13.0686,46.5730
29498527,15.0842,-12.9412,46.4839
29599385,14.5683,-13.6300,46.2605
29701204,14.1765,-13.6568,47.0045
29799351,14.3982,-14.1693,46.6107
29898788,14.7700,-13.5160,46.5665
29998677,14.1675,-14.2461,46.4287
30101094,14.0791,-13.8962,46.1231
30198527,13.7905,-14.3862,46.6338
30299966,14.0255,-13.6208,46.3840
30400795,14.0987,-14.5169,46.6275
30499793,13.5330,-14.1033,46.6934
30600074,12.9126,-14.1742,46.5897
30701446,13.5355,-13.9239,46.7249
30800626,12.8118,-14.7361,45.9511
30898884,12.8268,-14.7263,46.3043
30999362,13.2388,-14.6544,46.9128
31099695,13.4256,-14.8558,46.6167
31201106,12.5321,-14.7768,46.6082
31300604,12.9817,-15.3767,45.7171
31398533,12.5936,-15.2252,45.8889
31498649,12.2120,-14.2359,46.2449
31599188,12.5237,-15.0393,46.3207
31698623,12.1528,-15.5437,46.5830
31798618,12.0786,-15.8097,46.3546
31899474,12.2828,-15.4604,46.3998
31998631,12.5467,-15.4142,46.3489
32101064,12.3020,-15.5670,46.3144
32201018,11.7801,-15.4358,46.7280
32300171,11.7915,-15.9311,47.0610
32399719,11.4626,-15.8628,46.3526
32501167,11.0393,-15.7038,46.8465
32601358,11.1071,-15.6216,46.0948
32700149,11.1672,-16.2860,46.6877
32800812,11.0591,-15.7935,46.5760
32900538,11.8320,-16.1436,46.3505
32998899,10.8848,-16.2275,46.7467
33101339,11.0823,-16.3045,46.2501
33199298,10.6792,-16.6085,46.3674
33298584,10.8407,-16.7164,46.1315
33399099,10.3532,-16.8709,46.4027
33498791,10.2789,-16.4262,46.1310
33599264,9.5909,-16.6720,46.0928
33698983,9.8871,-16.2503,46.9570
33801265,10.2549,-16.8035,46.8471
33900063,9.8003,-17.2020,46.7240
34001037,9.9419,-17.2829,46.5303
34100567,9.0823,-16.9820,46.7580
34201186,9.1705,-17.0073,46.4599
34300283,9.3437,-16.8623,46.7285
34399439,9.2782,-17.4991,46.4809
34500311,9.2910,-17.4550,46.7908
34601183,9.1489,-17.5929,46.2163
34700726,8.6017,-17.2562,46.3727
34800177,8.2139,-17.5579,46.2944
34899748,7.9752,-17.5106,46.4530
35001317,8.3374,-17.6400,46.6523
35101190,8.5011,-17.2486,46.3686
35200269,7.9581,-17.5321,46.5103
35299733,8.1040,-17.6867,46.6900
35400256,7.8383,-17.5554,46.1846
35500903,7.5884,-17.8005,46.6853
35599931,7.2752,-17.4125,46.9533
35701496,7.3947,-17.6025,46.6608
35801313,7.3258,-17.2801,46.1573
35899738,7.2309,-18.4269,46.5830
35999597,6.8325,-18.0878,46.5505
36098848,6.8291,-18.2687,46.2664
36199173,6.2856,-18.5273,46.3305
36299837,6.3414,-17.9043,46.7173
36400174,6.8480,-18.3138,46.8855
36500709,6.1794,-18.6120,46.6575
36599703,6.0340,-18.6061,46.8248
36698547,5.8190,-18.3876,47.1320
36800584,5.7846,-18.8353,46.4688
36900229,5.3486,-17.9510,46.4110
36998699,5.4573,-18.3807,46.7337
37098668,5.1963,-18.1063,46.4817
37199537,4.2623,-18.4208,46.5985
37298696,4.7644,-18.1706,46.1249
37398605,4.7363,-18.9456,46.4378
37498850,4.3305,-18.2339,46.4896
37599655,4.4321,-18.1012,46.2253
37699965,3.9994,-18.0566,46.5020
37798751,3.3484,-18.5672,46.7490
37899765,3.2290,-18.7977,46.3097
38000780,3.3403,-18.3299,46.3864
38099105,3.5544,-18.4398,46.8001
38199357,3.4026,-18.5860,46.7323
38299370,3.0455,-18.0508,46.5642
38398803,2.7937,-18.2725,47.3300
38500014,2.5177,-18.3255,46.4459
38598603,3.1205,-18.8570,46.5373
38699138,2.3448,-18.6282,46.7610
38801336,2.0741,-18.3418,46.5381
38898683,1.4064,-19.2307,46.5906
38999250,1.9475,-18.4642,46.6753
39099996,1.8117,-18.5798,47.0387
39200444,2.5439,-19.0903,46.9956
39301399,1.5184,-19.0309,46.9170
39399081,1.1697,-18.5480,46.8444
39500786,1.4129,-18.6564,46.5735
39599563,0.9178,-18.9055,46.7420
39700218,0.6032,-18.5964,46.9544
39799218,0.3232,-18.6706,46.7102
39899382,0.6105,-18.4761,46.4281
39999728,0.0914,-18.7700,46.7374
40099656,-0.8652,-18.4257,46.9348
40201299,-0.3793,-18.6162,46.6087
40300354,-0.3514,-18.4928,47.2068
40398971,-0.7901,-18.3089,46.6233
40501449,-0.8776,-18.4929,46.7125
40599720,-1.3339,-18.4720,46.9825
40699192,-1.4292,-18.2960,46.9177
40800894,-1.0924,-18.7959,46.9354
40901458,-1.7214,-18.3738,46.4520
41001199,-2.1434,-18.7694,46.5483
41098790,-2.1234,-18.9758,46.7754
41199069,-2.1187,-17.9073,46.6508
41299602,-2.0016,-18.6158,46.8162
41399087,-2.5204,-18.6991,46.8775
41500941,-2.3619,-18.4676,47.0862
41601091,-3.0345,-18.5106,46.7828
41698926,-2.9674,-18.2286,46.6812
41799034,-3.5377,-18.3443,46.5239
