# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
14230002,-3.66852,25.6504,12.5402
14330323,-4.23853,25.5773,12.0725
14430001,-4.00468,25.7381,12.3063
14530600,-3.78544,26.3227,13.1687
14630013,-4.22391,25.9866,13.5341
14730226,-3.84391,25.4896,13.3002
14830002,-4.00468,25.6065,13.081
14930224,-4.18006,25.5481,12.5694
15030002,-4.32622,25.5481,12.9056
15130606,-4.10699,25.6942,13.3002
15230005,-3.66852,25.5335,12.9787
15330226,-4.01929,25.6942,12.5694
15430202,-4.13622,25.7089,12.2917
15530224,-3.99006,25.4312,12.0725
15630001,-4.37007,25.1827,12.6863
15730340,-3.52236,25.3435,13.2417
15830000,-4.1216,25.6358,12.0871
15930597,-4.10699,25.2412,12.7887
16030026,-3.6539,25.7089,13.5779
16130328,-3.71236,26.0304,13.0225
16230003,-3.50775,25.4165,13.1102
16330226,-4.1216,25.665,12.584
16430001,-3.99006,25.3581,13.5048
16530523,-4.00468,25.6504,12.6863
16630001,-3.59544,25.475,12.8325
16730225,-3.49313,25.0804,12.5987
16830212,-3.68313,25.5919,12.8325
16930224,-4.06314,25.4165,13.154
17030002,-3.61006,25.7235,13.3002
17130449,-3.80006,25.4312,12.6425
17230002,-4.41391,25.9281,12.2771
17330600,-4.16545,25.2558,13.0079
17430044,-3.42005,25.5335,12.2186
17530234,-3.61006,25.9573,12.8033
17630001,-3.96083,25.5189,12.4817
17730225,-3.82929,25.2996,12.4087
17830001,-3.6539,25.3727,12.6425
17930538,-3.33236,25.8696,12.5694
18030002,-3.80006,25.8989,12.6863
18130330,-4.48699,25.4019,12.6133
18230225,-3.99006,25.6504,13.1979
18330225,-3.94621,25.8696,12.6133
18430000,-3.94621,26.3227,12.6425
18530368,-4.18006,25.8112,13.0371
18630002,-3.61006,25.9281,12.6571
18730598,-4.06314,25.5627,11.9994
18830054,-3.90237,25.5335,12.014
18930227,-3.7416,25.6358,12.5548
19030001,-3.81467,25.7089,12.9933
19129999,-4.26776,25.2119,12.6863
19230001,-4.18006,25.8258,13.0371
19330555,-3.88775,25.2119,12.7887
19430000,-3.99006,25.7819,12.6717
19529999,-3.87314,25.2558,12.394
19630240,-4.18006,25.2704,12.5256
19730226,-4.06314,25.5481,12.5694
19829999,-4.41391,25.2996,11.9994
19930380,-4.03391,25.2558,12.9787
20029999,-3.50775,25.2996,13.081
20130692,-4.42853,25.5481,12.584
20230071,-4.70623,25.285,12.9933
20330228,-3.63929,25.4896,12.1894
20430000,-3.66852,25.5335,12.5256
20530226,-3.75621,25.8258,12.2917
20630001,-3.82929,25.7089,12.5402
20730605,-3.55159,25.4458,12.6863
20830002,-3.75621,25.665,12.6133
