# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]  -- block-averaged from 786 Hz by 8 (inslib_decimate_dataset.py)
137967,0.00143223584,0.00339739668,-0.00159877488,-0.0712274994,0.0996586441,-9.84675288
147923,0.0016653905,0.00359724355,-0.00106584993,-0.0799064804,0.087986911,-9.8380739
157878,0.00143223582,0.00363055133,-0.00116577335,-0.0739209763,0.0942716904,-9.84555578
167834,0.00179862173,0.0044965543,-0.00289777947,-0.0754173523,0.0945709656,-9.84346085
177790,0.00103254212,0.0039636294,-0.00233154669,-0.072125325,0.0972644423,-9.85782606
187745,0.00176531394,0.00359724348,-0.00253139357,-0.0751180771,0.0963666168,-9.85034418
197701,0.00103254211,0.00363055136,-0.00239816231,-0.0745195267,0.0939724152,-9.84735143
207656,0.000532924967,0.00379709035,-0.00206508423,-0.0760159027,0.0930745896,-9.84435868
217612,0.00136562021,0.00353062791,-0.00173200613,-0.0739209763,0.0945709656,-9.84824925
227568,0.00176531393,0.00296439512,-0.00269793264,-0.0757166275,0.0978629928,-9.8476507
237523,0.000732771824,0.00359724348,-0.00196516078,-0.0790086548,0.10115502,-9.85184056
247479,0.00166539049,0.0034973201,-0.00246477797,-0.0769137283,0.0885854615,-9.84735143
257434,0.00139892803,0.00436332319,-0.00163208268,-0.0817021317,0.0915782135,-9.84615433
267390,0.000532924966,0.0034307045,-0.00179862173,-0.0733224258,0.0900818375,-9.8416652
277346,0.0012656968,0.00373047471,-0.00249808576,-0.0637456192,0.102052846,-9.85603041
287301,0.000333078105,0.00366385908,-0.00176531393,-0.0784101044,0.0975637178,-9.85303766
297257,0.00126569679,0.00339739662,-0.00213169981,-0.0787093796,0.095169516,-9.85393548
307212,0.000666156199,0.00333078108,-0.000832695263,-0.0790086548,0.0945709656,-9.85064345
317168,0.000866003068,0.00336408887,-0.00203177641,-0.0769137283,0.0891840118,-9.85603041
327124,0.00163208269,0.00306431855,-0.00213169986,-0.0733224258,0.0927753143,-9.85962171
337079,0.0012990046,0.00333078097,-0.00253139352,-0.0760159027,0.0885854614,-9.85453403
347035,0.00156546706,0.00396362943,-0.00213169984,-0.0742202515,0.0903811127,-9.85423476
356991,0.00123238899,0.00339739665,-0.00173200614,-0.0700303986,0.0930745895,-9.85273838
