# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
3243473403,-26.2145,41.4239,15.3017
3243573656,-26.5598,42.374,15.254
3243673445,-25.9746,41.3068,12.6725
3243774211,-25.4958,41.8596,15.7944
3243874574,-26.4232,42.2414,15.2481
3243974312,-25.8156,41.2997,15.4898
3244074810,-25.8313,41.3662,15.8703
3244174801,-26.2473,41.0749,16.224
3244274397,-27.7153,41.5062,15.6784
3244374390,-26.1909,41.9091,14.5788
3244474769,-26.6472,42.1011,14.1171
3244575031,-24.2332,41.971,16.2731
3244674890,-25.9159,40.8873,14.7152
3244774724,-27.4865,41.8537,16.6348
3244874503,-27.239,41.7378,13.8128
3244974977,-27.348,40.9645,16.7771
3245074298,-25.9171,41.9803,16.1762
3245175360,-26.7468,40.7865,15.2696
3245275785,-25.4932,40.415,16.1024
3245376190,-25.9186,41.7126,14.5703
3245475609,-25.7251,43.1557,16.1409
3245575698,-25.1397,43.4492,16.6263
3245675700,-27.147,42.6229,16.3877
3245776163,-26.568,41.8223,15.6048
3245875561,-26.0538,42.7321,16.0273
3245975848,-26.2361,41.3518,15.8684
3246076317,-27.1234,43.1081,15.6648
3246176964,-26.5591,41.4718,17.1811
3246276760,-26.6631,43.8112,15.7921
3246376303,-27.7016,42.8156,14.995
3246476774,-26.9464,42.0871,14.8618
3246576828,-26.1294,41.4977,14.836
3246681195,-27.0929,41.8053,15.2251
3246780878,-25.5758,40.9685,14.6279
3246880231,-27.1255,41.0513,14.5349
3246981551,-26.6489,40.1665,16.3721
3247081464,-26.2272,42.2399,17.1267
3247182143,-25.0575,41.5349,15.0339
3247283699,-27.8324,42.2533,16.7452
3247383879,-26.6866,40.8489,17.1509
3247484452,-26.2834,41.0006,17.1594
3247586394,-28.0627,41.6381,14.1828
3247686690,-26.3721,43.0593,17.1656
3247786554,-26.8403,42.0187,15.6134
3247886865,-27.0498,42.6908,17.3303
3247986880,-27.5157,41.4442,15.7683
3248087231,-27.4824,42.7488,16.3005
3248187483,-27.7516,42.0512,16.459
3248287686,-28.3778,42.3098,15.1531
3248387730,-28.9437,41.3922,16.0465
3248487614,-25.5978,40.9652,15.1894
3248587384,-27.564,40.7566,15.4585
3248687200,-27.7319,42.2606,15.9074
3248788050,-27.8271,40.8168,15.2677
3248887614,-27.6894,43.429,16.2402
3248987492,-27.4439,41.9977,15.5183
3249088113,-27.2754,42.2828,14.5935
3249187956,-25.7844,41.5719,16.3414
3249287314,-26.3012,40.463,14.3247
3249388339,-26.5695,41.3404,15.7662
3249489329,-26.7629,43.33,15.0225
3249589442,-25.9303,41.8407,16.5467
3249689449,-26.8466,41.5439,14.182
3249789635,-27.9,41.7847,13.4441
3249890214,-26.4631,41.4863,14.7422
3249990348,-26.6719,42.7089,16.301
3250094471,-25.8065,41.7828,15.1357
3250194272,-26.2401,42.3145,15.7217
3250294215,-28.5871,41.3382,15.5755
3250395012,-27.4856,41.785,16.6315
3250494450,-26.6991,41.2598,17.3634
3250594510,-25.486,40.4161,15.918
3250695117,-27.2041,41.6665,14.6564
3250794726,-26.4531,40.6621,14.7027
3250894836,-27.345,42.5476,16.2912
3250994581,-26.153,41.2267,13.7916
3251094494,-27.6752,41.6421,16.339
3251195068,-27.8254,40.6795,15.2611
3251295029,-24.5987,41.1368,15.4858
3251394604,-26.3276,41.2082,16.5152
3251494930,-27.1181,41.6717,14.1873
3251594521,-26.415,40.9353,15.3783
3251694453,-25.9115,42.1188,15.9984
3251794456,-27.1803,41.5325,14.0882
3251898084,-26.9607,41.802,17.0113
3251997271,-27.0889,42.0812,15.0539
3252098156,-27.8967,41.2958,15.1982
3252197816,-26.3847,41.2761,16.2332
3252297590,-26.7705,41.1347,14.0704
3252397804,-26.8649,40.9829,16.5028
3252497901,-26.0528,42.0442,16.1788
3252598209,-28.2951,41.3512,15.0152
3252698707,-26.4091,41.0738,15.1921
3252798868,-27.1241,42.5575,15.8228
3252899016,-26.2644,40.8736,14.9985
3252998288,-26.1147,42.1192,14.3041
3253098544,-27.1895,41.4545,16.0548
3253198799,-26.2975,42.3824,15.4481
3253299025,-25.168,41.5183,17.8416
3253399323,-27.4306,39.6602,15.7836
3253499509,-26.3037,40.4549,16.1019
3253599548,-25.8235,39.5096,16.1502
3253700123,-26.3652,40.8662,15.8447
3253799321,-26.1948,40.3947,15.068
3253899377,-26.7725,41.0579,15.8526
3253999694,-25.6729,40.8085,18.8457
3254099907,-25.5426,41.4397,17.0905
3254199308,-25.3829,40.6225,16.6745
3254299314,-26.7997,41.8717,18.0464
3254399900,-27.1364,41.1107,16.5081
3254499977,-25.5114,41.926,16.1748
3254599314,-26.7397,41.4069,14.9304
3254699838,-26.0747,40.1831,17.2131
3254800058,-28.2443,40.5942,15.6331
3254899892,-25.7027,41.087,17.8193
3255000731,-26.2288,41.1387,17.4512
3255100813,-26.3694,41.2096,15.8611
3255200464,-26.6963,40.0295,15.8958
3255300409,-25.9681,39.9239,14.5766
3255400282,-26.881,40.0938,15.4288
3255500370,-25.7405,41.3643,16.994
3255600677,-26.4428,40.7935,16.1177
3255700736,-26.2522,40.2485,16.5616
3255800400,-27.3832,40.4165,16.0967
3255900953,-25.3979,41.0253,18.6641
3256000523,-27.0562,40.144,18.1473
3256100775,-28.2091,40.1178,14.8641
3256200454,-26.581,41.0634,16.1302
3256301139,-25.8426,40.47,16.3891
3256400441,-26.8862,40.9109,17.061
3256500711,-26.7821,40.6436,16.2017
3256601060,-26.3127,39.9719,16.456
3256701311,-25.1256,41.043,16.8883
3256801958,-25.1833,40.7746,14.9971
3256901384,-26.4649,41.0043,14.9119
3257001266,-26.4558,41.2732,16.3251
3257101678,-25.4385,41.1723,16.2311
3257201886,-26.1203,40.7422,14.7998
3257303464,-26.0388,40.8766,16.1229
3257403556,-26.792,41.4678,16.2412
3257504203,-26.7111,41.0516,17.7223
3257604965,-26.9374,40.4981,16.756
3257706242,-25.4131,40.9009,15.6564
3257806986,-27.4549,40.0772,14.5794
3257907590,-25.4065,40.3515,15.6301
3258007642,-25.7657,42.0641,14.0258
3258107798,-27.2368,40.079,15.8965
3258208238,-26.8697,40.99,14.91
3258308418,-25.3415,41.8595,17.019
