# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]  -- block-averaged from 763 Hz by 8 (inslib_decimate_dataset.py)
1337921064,0.00173200612,0.00393032157,-0.00146554367,0.10175357,-0.00748188019,-9.89314054
1337931019,0.00226493111,0.00303101069,-0.00183192953,0.113425303,-0.00269347687,-9.86111809
1337940973,0.00183192954,0.00496286366,-0.00136562022,0.114622404,-0.00179565124,-9.88087025
1337952172,0.00276454827,0.00466309344,-0.00166539052,0.117016606,-0.00628477937,-9.8706949
1337962126,0.00249808576,0.00489624813,-0.000566232777,0.116118781,-0.00508767853,-9.86441012
1337972081,0.00226493106,0.00456316999,-0.000799387448,0.113425304,-0.00628477936,-9.86859997
1337982035,0.00176531396,0.00486294028,-0.00109915773,0.112228203,-0.00688332976,-9.87219127
1337991990,0.00199846861,0.00486294021,-0.00129900461,0.111928928,-0.00418985292,-9.87039561
1338003188,0.00216500764,0.00449655442,-0.0012656968,0.111928927,-0.00329202728,-9.86859997
1338013143,0.00196516081,0.00492955588,-0.00149885145,0.115220955,-0.00718260498,-9.86919852
1338023097,0.00183192956,0.00449655436,-0.000899310881,0.11552023,-0.0113724579,-9.87009634
1338033052,0.00143223585,0.00492955588,-0.00139892803,0.113724579,-0.00658405457,-9.8730891
1338043006,0.00253139357,0.00419678405,-0.00119908115,0.115220955,-0.00478840332,-9.88057098
1338054205,0.00189854518,0.00496286376,-0.0012990046,0.114921679,-0.00688332978,-9.86859997
1338064159,0.00239816234,0.00482963243,-0.00229823891,0.113724579,-0.00718260498,-9.87398692
1338074114,0.00213169984,0.00446324658,-0.00159877488,0.114323129,-0.00628477936,-9.86830069
1338084068,0.00236485451,0.00423009186,-0.000932618688,0.112527478,-0.00448912811,-9.87398692
1338094023,0.00269793262,0.0044965543,-0.00169869831,0.112527478,-0.00867898102,-9.86710359
1338105222,0.00263131701,0.00426339968,-0.00149885146,0.112228203,-0.00867898102,-9.87578257
1338115176,0.00316424199,0.00512940268,-0.00163208271,0.115819506,-0.00538695374,-9.87099417
1338125131,0.0028977795,0.00499617145,-0.00169869832,0.116418056,-0.00658405457,-9.87578257
1338135085,0.00216500763,0.00426339971,-0.00169869832,0.105644148,0.00119710083,-9.87638112
1338146284,0.00226493108,0.00409686063,-0.00219831544,0.113126028,-0.00718260498,-9.86441011
1338156238,0.00229823891,0.0044299387,-0.000899310884,0.111629653,-0.000299275208,-9.87278982
1338166193,0.00169869831,0.00399693725,-0.0013656202,0.111928928,-0.00897825624,-9.87488475
1338176147,0.00256470141,0.00373047475,-0.00116577336,0.111928928,-0.00299275207,-9.87638113
1338186102,0.00219831546,0.00409686063,-0.00123238898,0.112228203,-0.00748188019,-9.87189199
1338197300,0.00189854515,0.00476301686,-0.000965926514,0.112228203,-0.00538695373,-9.86979707
1338207255,0.00183192956,0.00479632468,-0.00169869832,0.113425304,-0.00987608185,-9.86560722
1338217209,0.00246477794,0.00429670753,-0.00143223584,0.114323129,-0.0110731827,-9.87219127
1338227164,0.00189854517,0.0046964012,-0.00153215926,0.110731827,-0.0080804306,-9.86590649
1338237118,0.00199846862,0.00446324658,-0.00176531392,0.115220955,-0.00538695373,-9.86859997
