# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]
1090000,-0,-0,-0.0002,0.01,-0.04,-9.76
1100000,-0,-0.0002,-0,0.03,-0.03,-9.77
1110000,-0.0002,0,-0.0002,0.08,-0.04,-9.75
1120000,0,0,-0.0002,0.02,-0.05,-9.76
1130000,0,0.0002,-0,-0.1,-0.06,-9.77
1140000,-0,-0.0002,-0.0002,-0.08,-0.05,-9.75
1150000,-0.0002,0,-0.0002,0.13,-0.03,-9.76
1160000,0,0,-0.0002,0.18,-0.03,-9.74
1170000,0,0,-0,0.03,-0.03,-9.75
1180000,0,0,-0.0002,-0.17,-0.04,-9.75
1190000,-0,-0,-0,-0.12,-0.04,-9.76
1200000,-0,-0,-0.0002,0.08,-0.06,-9.77
1210000,-0,-0,-0,0.11,-0.03,-9.75
1220000,-0.0002,-0,-0.0002,-0.01,-0.05,-9.76
1230000,0,-0,-0.0002,-0.07,-0.03,-9.75
1240000,0.0002,-0,-0.0002,-0,-0.07,-9.76
1250000,-0,-0,-0,0.01,-0.05,-9.74
1260000,-0.0002,-0.0002,-0.0002,0.03,-0.04,-9.75
1270000,0,0,-0.0002,0.1,-0.05,-9.76
1280000,-0,0,-0,0.11,-0.06,-9.75
1290000,-0.0002,0,-0.0002,-0,-0.05,-9.75
1300000,0,-0,-0.0002,-0.17,-0.04,-9.76
1310000,0,-0,-0.0002,-0.12,-0.04,-9.76
1320000,-0,-0.0002,-0,0.08,-0.06,-9.74
1330000,-0,0,-0.0002,0.13,-0.03,-9.74
1340000,-0,0,-0.0002,-0.02,-0.05,-9.74
1350000,-0.0002,0,-0,-0.06,-0.04,-9.76
1360000,0,0,-0.0002,-0.02,-0.04,-9.78
1370000,-0,0,-0,0,-0.04,-9.75
1380000,-0.0002,0,-0.0002,0.04,-0.05,-9.75
1390000,0,-0,-0,0.07,-0.04,-9.76
1400000,-0,-0,-0.0002,0.06,-0.04,-9.75
1410000,-0,-0,-0.0002,-0.05,-0.03,-9.75
1420000,-0.0002,-0.0002,-0,-0.08,-0.05,-9.76
1430000,0,0,-0.0002,0,-0.05,-9.76
1440000,0,0,-0.0002,0.09,-0.04,-9.74
1450000,-0,-0,-0.0002,0.04,-0.04,-9.75
1460000,-0,-0,0,-0.03,-0.04,-9.76
1470000,-0,-0,-0.0002,-0.03,-0.04,-9.74
1480000,-0.0002,0,-0,-0.03,-0.03,-9.74
1490000,-0,0,-0.0002,0.01,-0.04,-9.76
1500000,-0,0,-0.0002,0.02,-0.04,-9.75
1510000,-0.0002,-0,-0,0.06,-0.04,-9.77
1520000,0,-0,-0.0002,0.04,-0.04,-9.75
1530000,0,-0,-0,-0.12,-0.03,-9.74
