# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2]  -- block-averaged from 783 Hz by 8 (inslib_decimate_dataset.py)
2020844963,0.00183192956,0.00176531393,-0.00203177642,0.0757166275,-0.0188543381,-9.86051954
2020856164,0.00236485451,0.000366385922,-0.00203177643,0.063446344,-0.0227449158,-9.86590649
2020866119,0.00213169983,0.00166539051,-0.00213169981,0.0631470688,-0.0176572372,-9.87997243
2020876075,0.00143223585,0.00266462484,-0.00159877489,0.0661398209,-0.0155623108,-9.87997243
2020886031,0.000732771834,0.00499617145,-0.00226493106,0.0658405456,-0.0281318695,-9.87877532
2020895987,-3.33078081e-05,0.005429173,-0.00319754975,0.0727238754,-0.0242412918,-9.87608185
2020907187,0.000366385912,0.00602871356,-0.00293108732,0.073621701,-0.0152630356,-9.87069489
2020917143,0.000499617162,0.00452986221,-0.00266462481,0.0724246002,-0.0188543381,-9.85662896
2020927099,0.00103254212,0.00379709041,-0.00236485452,0.0754173523,-0.0263362182,-9.86949779
2020937055,0.000732771836,0.00413016845,-0.00253139356,0.0640448944,-0.0233434662,-9.86770214
2020947011,0.00113246553,0.00433001534,-0.00229823888,0.0730231506,-0.0179565124,-9.86650504
2020958211,0.00103254211,0.00393032165,-0.00253139359,0.0739209763,-0.0119710083,-9.86261447
2020968167,0.00239816232,0.00283116385,-0.00263131702,0.0784101043,-0.0191536133,-9.86620577
2020978123,0.00203177641,0.00189854518,-0.0020317764,0.0733224258,-0.0233434662,-9.86381156
2020988078,0.00273124044,0.00119908117,-0.00186523736,0.0709282242,-0.0182557877,-9.86949779
2020998034,0.00186523734,0.00153215925,-0.00249808577,0.0652419953,-0.0296282455,-9.87757823
2021009235,0.00126569678,0.00373047478,-0.00209839204,0.063446344,-0.0236427414,-9.8778775
2021019190,0.000399693721,0.0047630168,-0.00266462476,0.0709282242,-0.0200514389,-9.87697967
2021029146,-0.000133231243,0.00519601838,-0.00223162327,0.0757166275,-0.023044191,-9.87308909
2021039102,0.000166539051,0.00416347626,-0.00246477796,0.0787093796,-0.0179565124,-9.86441012
2021049058,0.00149885147,0.00449655433,-0.00259800921,0.0766144531,-0.0140659348,-9.86680432
2021060258,0.00129900461,0.0042967075,-0.00213169983,0.0736217011,-0.0206499893,-9.87278982
2021070214,0.000233154674,0.0038303982,-0.00259800919,0.0691325729,-0.0188543381,-9.87847605
2021080170,0.00199846859,0.00373047478,-0.00159877488,0.0739209763,-0.023044191,-9.86979707
2021090126,0.000932618701,0.00319754978,-0.00213169984,0.0805050308,-0.0164601364,-9.86261446
2021100082,0.00133231241,0.00286447169,-0.00233154672,0.0825999572,-0.0164601364,-9.85902316
2021111282,0.0019651608,0.00166539052,-0.0016653905,0.0685340225,-0.0191536133,-9.86949779
2021121238,0.0012656968,0.00163208269,-0.00186523738,0.0673369217,-0.0242412918,-9.8754833
2021131194,0.00156546707,0.00166539049,-0.00266462482,0.0658405457,-0.0203507141,-9.88476083
2021141150,0.000766079641,0.00339739663,-0.0029310873,0.0598550415,-0.0176572372,-9.87727895
2021151105,0.000433001535,0.0034973201,-0.00199846859,0.0724246002,-0.0254383926,-9.87638112
